scalar,RGB_r,RGB_g,RGB_b
0.0,0,0,0
0.00392156862745,5,0,4
0.0078431372549,9,0,8
0.0117647058824,13,1,13
0.0156862745098,17,1,17
0.0196078431373,20,1,20
0.0235294117647,22,1,23
0.0274509803922,25,1,26
0.0313725490196,27,1,30
0.0352941176471,28,2,33
0.0392156862745,30,2,37
0.043137254902,31,2,40
0.0470588235294,32,2,44
0.0509803921569,33,2,48
0.0549019607843,34,2,51
0.0588235294118,34,3,55
0.0627450980392,35,3,58
0.0666666666667,36,3,62
0.0705882352941,36,3,65
0.0745098039216,36,3,68
0.078431372549,37,3,71
0.0823529411765,37,4,74
0.0862745098039,38,4,77
0.0901960784314,38,4,80
0.0941176470588,39,4,83
0.0980392156863,39,4,86
0.101960784314,40,4,88
0.105882352941,40,4,91
0.109803921569,41,4,93
0.113725490196,42,5,96
0.117647058824,42,5,98
0.121568627451,43,5,101
0.125490196078,44,5,103
0.129411764706,44,5,106
0.133333333333,44,5,109
0.137254901961,44,5,113
0.141176470588,43,6,118
0.145098039216,41,6,123
0.149019607843,37,6,130
0.152941176471,30,7,137
0.156862745098,15,7,147
0.160784313725,7,14,146
0.164705882353,7,21,141
0.16862745098,6,26,135
0.172549019608,6,31,130
0.176470588235,6,34,125
0.180392156863,6,37,120
0.18431372549,5,40,115
0.188235294118,5,43,110
0.192156862745,5,45,106
0.196078431373,5,47,102
0.2,5,49,98
0.203921568627,4,51,94
0.207843137255,4,53,91
0.211764705882,4,54,88
0.21568627451,4,56,85
0.219607843137,4,57,82
0.223529411765,4,59,80
0.227450980392,4,60,77
0.23137254902,4,61,75
0.235294117647,4,63,73
0.239215686275,3,64,71
0.243137254902,3,65,70
0.247058823529,3,66,68
0.250980392157,3,68,67
0.254901960784,3,69,65
0.258823529412,3,70,64
0.262745098039,3,71,62
0.266666666667,3,72,61
0.270588235294,4,73,59
0.274509803922,4,74,58
0.278431372549,4,76,56
0.282352941176,4,77,55
0.286274509804,4,78,53
0.290196078431,4,79,51
0.294117647059,4,80,50
0.298039215686,4,81,48
0.301960784314,4,82,46
0.305882352941,4,84,44
0.309803921569,4,85,42
0.313725490196,4,86,40
0.317647058824,4,87,38
0.321568627451,4,88,36
0.325490196078,4,89,34
0.329411764706,4,90,32
0.333333333333,4,91,30
0.337254901961,5,93,28
0.341176470588,5,94,26
0.345098039216,5,95,24
0.349019607843,5,96,22
0.352941176471,5,97,20
0.356862745098,5,98,18
0.360784313725,5,99,16
0.364705882353,5,100,15
0.36862745098,5,101,14
0.372549019608,5,102,14
0.376470588235,5,104,13
0.380392156863,5,105,13
0.38431372549,5,106,12
0.388235294118,5,107,11
0.392156862745,5,108,10
0.396078431373,5,109,8
0.4,5,110,6
0.403921568627,9,111,5
0.407843137255,15,112,5
0.411764705882,20,113,5
0.41568627451,24,114,5
0.419607843137,29,115,6
0.423529411765,34,115,6
0.427450980392,38,116,6
0.43137254902,43,117,6
0.435294117647,47,118,6
0.439215686275,51,118,6
0.443137254902,56,119,6
0.447058823529,60,119,6
0.450980392157,64,120,6
0.454901960784,69,120,6
0.458823529412,73,121,6
0.462745098039,77,121,6
0.466666666667,82,122,6
0.470588235294,86,122,6
0.474509803922,90,122,6
0.478431372549,95,123,6
0.482352941176,99,123,6
0.486274509804,103,123,6
0.490196078431,107,123,6
0.494117647059,111,124,6
0.498039215686,115,124,6
0.501960784314,120,124,6
0.505882352941,124,124,6
0.509803921569,128,124,6
0.513725490196,133,124,6
0.517647058824,138,123,7
0.521568627451,143,123,7
0.525490196078,148,122,7
0.529411764706,153,122,7
0.533333333333,159,121,8
0.537254901961,164,120,8
0.541176470588,170,118,8
0.545098039216,176,117,8
0.549019607843,183,115,9
0.552941176471,189,113,9
0.556862745098,196,111,9
0.560784313725,202,108,10
0.564705882353,209,105,10
0.56862745098,216,102,10
0.572549019608,223,98,11
0.576470588235,230,94,11
0.580392156863,237,89,11
0.58431372549,243,84,12
0.588235294118,244,86,27
0.592156862745,245,88,36
0.596078431373,245,89,44
0.6,245,91,50
0.603921568627,245,93,55
0.607843137255,246,95,60
0.611764705882,246,98,64
0.61568627451,246,100,67
0.619607843137,246,102,70
0.623529411765,246,104,73
0.627450980392,246,106,76
0.63137254902,247,107,81
0.635294117647,247,109,85
0.639215686275,247,111,91
0.643137254902,247,112,96
0.647058823529,248,114,102
0.650980392157,248,115,108
0.654901960784,248,117,115
0.658823529412,248,118,121
0.662745098039,249,120,127
0.666666666667,249,121,134
0.670588235294,249,123,140
0.674509803922,249,124,146
0.678431372549,249,125,152
0.682352941176,249,127,158
0.686274509804,249,128,164
0.690196078431,249,130,170
0.694117647059,249,131,175
0.698039215686,249,132,181
0.701960784314,249,133,186
0.705882352941,249,135,191
0.709803921569,249,136,196
0.713725490196,249,137,201
0.717647058824,249,139,206
0.721568627451,249,140,211
0.725490196078,250,141,216
0.729411764706,250,142,220
0.733333333333,250,144,224
0.737254901961,250,145,229
0.741176470588,250,146,233
0.745098039216,250,148,236
0.749019607843,250,149,240
0.752941176471,250,150,244
0.756862745098,250,152,248
0.760784313725,249,154,250
0.764705882353,246,157,250
0.76862745098,243,161,250
0.772549019608,241,164,251
0.776470588235,239,167,251
0.780392156863,237,170,251
0.78431372549,235,172,251
0.788235294118,233,175,251
0.792156862745,232,177,251
0.796078431373,231,179,251
0.8,230,181,251
0.803921568627,229,183,252
0.807843137255,228,185,252
0.811764705882,228,187,252
0.81568627451,227,189,252
0.819607843137,227,191,252
0.823529411765,227,192,252
0.827450980392,227,194,252
0.83137254902,227,196,252
0.835294117647,227,197,252
0.839215686275,227,199,252
0.843137254902,228,200,252
0.847058823529,228,202,252
0.850980392157,228,203,253
0.854901960784,229,205,253
0.858823529412,229,206,253
0.862745098039,230,208,253
0.866666666667,231,209,253
0.870588235294,231,210,253
0.874509803922,232,212,253
0.878431372549,233,213,253
0.882352941176,233,214,253
0.886274509804,234,216,253
0.890196078431,234,217,253
0.894117647059,234,219,253
0.898039215686,234,220,253
0.901960784314,235,222,253
0.905882352941,235,224,253
0.909803921569,235,225,254
0.913725490196,235,227,254
0.917647058824,235,228,254
0.921568627451,235,230,254
0.925490196078,235,231,254
0.929411764706,235,233,254
0.933333333333,235,234,254
0.937254901961,236,236,254
0.941176470588,236,237,254
0.945098039216,236,239,254
0.949019607843,236,240,254
0.952941176471,237,242,254
0.956862745098,237,243,254
0.960784313725,238,245,254
0.964705882353,238,246,254
0.96862745098,239,247,254
0.972549019608,240,249,254
0.976470588235,241,250,254
0.980392156863,242,251,254
0.98431372549,244,252,254
0.988235294118,246,253,255
0.992156862745,248,254,255
0.996078431373,251,255,255
1.0,255,255,255
